team,mu_home_for,mu_away_for,mu_home_against,mu_away_against,attack_A,defense_D,beta0,home_adv,alpha,matches_w,low_sample_flag,promoted_flag
Newcastle,6.722365691468389,5.992399933077974,4.79652697345772,5.380817155842411,0.2933546458817779,0.07075476621943678,1.497137342611495,0.11494814151204248,0.029999999999999995,37.657881969914506,0,0
Arsenal,6.622909863340997,5.903743777616039,2.7720521285053423,3.1097303804378367,0.2784493456446872,-0.47754945608354943,1.497137342611495,0.11494814151204248,0.029999999999999995,37.57307760831818,0,0
Liverpool,6.520348337912879,5.8123191651627435,3.5992311723286488,4.037672454898685,0.26284231644816064,-0.21641708319934913,1.497137342611495,0.11494814151204248,0.029999999999999995,37.67649873614066,0,0
Bournemouth,6.244445398538156,5.566375872083136,4.554751368980279,5.109589593142279,0.21960684823068485,0.01903360241313148,1.497137342611495,0.11494814151204248,0.029999999999999995,37.71416504321464,0,0
Chelsea,6.179660797456204,5.508626077292789,3.703662651596108,4.1548252820091855,0.20917789869669845,-0.18781510675821217,1.497137342611495,0.11494814151204248,0.029999999999999995,37.629095776220424,0,0
Manchester City,6.172261040764487,5.502029842642758,3.188537552076388,3.5769500843424433,0.20797974383887502,-0.33757497855894003,1.497137342611495,0.11494814151204248,0.029999999999999995,37.79170843109435,0,0
Aston Villa,5.825815148512681,5.193203688751778,4.152315272403667,4.658130638658663,0.15021344519641538,-0.07347126697080301,1.497137342611495,0.11494814151204248,0.029999999999999995,37.714165043214635,0,0
Tottenham,5.705281313120671,5.085758336879089,4.6250258562482625,5.188424585377714,0.12930680789955226,0.03434461887743143,1.497137342611495,0.11494814151204248,0.029999999999999995,37.56909960226073,0,0
Nottingham Forest,5.229535815052345,4.66167291492638,4.996586553047532,5.60524704521953,0.0422370357223041,0.11161764729359629,1.497137342611495,0.11494814151204248,0.029999999999999995,37.62156502070265,0,0
Fulham,5.218892750673641,4.652185555684435,4.591646347130799,5.1509789426644055,0.040199778541887055,0.027101298442314962,1.497137342611495,0.11494814151204248,0.029999999999999995,37.79170843109435,0,0
Brighton & Hove Albion,5.158404881769999,4.598265921108435,4.196681030208037,4.7079008228037145,0.028541916139038278,-0.06284336062204855,1.497137342611495,0.11494814151204248,0.029999999999999995,37.49155621438102,0,0
Manchester United,5.130054649687254,4.572994173537339,4.360556699034735,4.8917390489050865,0.023030827962876647,-0.024537610136518746,1.497137342611495,0.11494814151204248,0.029999999999999995,37.614435291702485,0,0
Brentford,5.061040019915907,4.511473678847786,5.071301406652501,5.689063308173653,0.00948651558867986,0.126460129755608,1.497137342611495,0.11494814151204248,0.029999999999999995,37.79170843109434,0,0
Sheffield United,5.006584651784517,4.462931490082242,4.495816725084788,5.043475810252882,-0.0013315077247474049,0.006010005155423955,1.497137342611495,0.11494814151204248,0.029999999999999995,0.0,1,0
Leeds United,4.9912110111259755,4.449227236627192,4.022210865868173,4.51217752995922,-0.004406916203586303,-0.10530562452291523,1.497137342611495,0.11494814151204248,0.029999999999999995,20.259485257230864,0,0
Luton Town,4.940480092209802,4.40400506796355,4.524521882201538,5.075677693559213,-0.014622972987974566,0.01237456756591113,1.497137342611495,0.11494814151204248,0.029999999999999995,0.0,1,0
West Ham United,4.675069600008892,4.1674148720863124,5.275603825223927,5.918252879067851,-0.06984143379127125,0.16595579943629543,1.497137342611495,0.11494814151204248,0.029999999999999995,37.52128071566479,0,0
Crystal Palace,4.533530577785738,4.041245236838058,4.613059652769871,5.175000715706361,-0.10058447119048759,0.03175399332863168,1.497137342611495,0.11494814151204248,0.029999999999999995,37.60676590933471,0,0
Everton,4.369109477948885,3.8946782345535174,5.031133833104819,5.644002711193809,-0.13752627657189398,0.11850803023435076,1.497137342611495,0.11494814151204248,0.029999999999999995,37.629095776220424,0,0
Southampton,4.11436297414437,3.667594049846426,5.633801784346094,6.320084815862502,-0.1976014677753954,0.23164714417658672,1.497137342611495,0.11494814151204248,0.029999999999999995,17.332625043989175,0,0
Wolverhampton Wanderers,4.015474192547722,3.5794433666763648,5.040655331633144,5.654684073544954,-0.2219300384564155,0.12039875713680676,1.497137342611495,0.11494814151204248,0.029999999999999995,37.69950943509997,0,0
Ipswich Town,3.8689066951827056,3.448791286484387,5.766052214724961,6.468445366858664,-0.2591135246993933,0.2548503121871893,1.497137342611495,0.11494814151204248,0.029999999999999995,17.39126698368348,0,0
Leicester,3.8151931119747946,3.400910333975516,5.201360199810885,5.834965247090574,-0.27309420153983543,0.15178282565732637,1.497137342611495,0.11494814151204248,0.029999999999999995,17.468810371563194,0,0
Burnley,3.6985587521855416,3.2969410228916605,4.825828301520865,5.413687832814229,-0.30414226679482803,0.07684504615505527,1.497137342611495,0.11494814151204248,0.029999999999999995,20.259485257230864,0,0
Sunderland,3.676103780732022,3.2769243835698645,4.15043557027884,4.656021960129987,-0.31023204805580884,-0.07392405718275995,1.497137342611495,0.11494814151204248,0.029999999999999995,20.259485257230864,0,0
