team,emp_home_for,mu_home_for,diff_home_for,emp_home_against,mu_home_against,diff_home_against,emp_away_for,mu_away_for,diff_away_for,emp_away_against,mu_away_against,diff_away_against,attack_A,defense_D,alpha,matches
AFC Bournemouth,6.369565217391305,6.3636503892161285,-0.00591482817517619,4.739130434782608,4.277938713413002,-0.4611917213696062,5.521739130434782,5.36269843571732,-0.1590406947174623,5.391304347826087,5.076419396872534,-0.3148849509535525,0.19776111666924664,-0.02823488666263515,0.07708955703295352,92
Arsenal,7.1521739130434785,6.945586025260333,-0.20658788778314552,2.717391304347826,2.6596461323957707,-0.05774517195205542,6.173913043478261,5.853100191664009,-0.3208128518142521,3.369565217391304,3.1560712108797904,-0.21349400651151385,0.2852652969344669,-0.5035130902197943,0.07708955703295352,92
Aston Villa,6.478260869565218,6.137768370387761,-0.34049249917745694,3.8043478260869565,3.897805992563472,0.09345816647651528,5.1521739130434785,5.172345874696637,0.020171961653158377,5.043478260869565,4.625334599548045,-0.4181436613215208,0.16162016190177161,-0.12129234240321068,0.07708955703295352,92
Brentford,4.760869565217392,5.313414607866827,0.5525450426494354,5.1521739130434785,4.902976609009419,-0.24919730403405982,4.826086956521739,4.477656449231004,-0.3484305072907352,6.478260869565218,5.818121115748868,-0.6601397538163498,0.01739362431427225,0.108136320677221,0.07708955703295352,92
Brighton & Hove Albion,5.826086956521739,5.498003320892164,-0.3280836356295751,4.239130434782608,3.952548007372991,-0.2865824274096176,4.5,4.633210815364871,0.13321081536487078,4.891304347826087,4.690294255218571,-0.20101009260751557,0.05154393716209939,-0.10734573512416559,0.07708955703295352,92
Chelsea,6.369565217391305,6.1530800123917775,-0.21648520499952717,3.9565217391304346,3.6204299235665145,-0.3360918155639201,5.043478260869565,5.185249116326999,0.14177085545743395,4.608695652173913,4.296186065355739,-0.312509586818174,0.16411171487650075,-0.19511338902778796,0.07708955703295352,92
Crystal Palace,4.782608695652174,4.6682189352580075,-0.11438976039416637,4.934782608695652,4.586030370726988,-0.3487522379686645,4.021739130434782,3.933944960916968,-0.08779416951781416,5.760869565217392,5.442016608515506,-0.3188529567018854,-0.11206344197673855,0.04130863567131852,0.07708955703295352,92
Everton,4.782608695652174,4.790502926187669,0.007894230535494984,5.391304347826087,4.9747452993397125,-0.4165590484863744,4.086956521739131,4.036994645730426,-0.04996187600870439,6.565217391304348,5.903285489548457,-0.6619319017558905,-0.0862056556590179,0.1226680019575541,0.07708955703295352,92
Fulham,5.586956521739131,5.730133687034405,0.14317716529527402,4.521739130434782,4.123212150514807,-0.3985269799199749,5.108695652173913,4.82882890800915,-0.27986674416476287,4.978260869565218,4.892812997219097,-0.08544787234612095,0.0928978049260693,-0.06507366345294203,0.07708955703295352,92
Wolverhampton Wanderers,4.239130434782608,4.002505673651966,-0.23662476113064201,5.260869565217392,5.058469176990959,-0.20240038822643225,3.347826086956522,3.3729431383308683,0.02511705137434639,6.565217391304348,6.002636495947304,-0.5625808953570433,-0.26592047318422507,0.13935773210534774,0.07708955703295352,92
Manchester United,6.304347826086956,5.647782788297582,-0.6565650377893739,4.869565217391305,4.617098526177108,-0.25246669121419707,4.456521739130435,4.759431155331811,0.3029094162013761,6.717391304347826,5.478883660036732,-1.2385076443110945,0.07842198468980699,0.048060311936763495,0.07708955703295352,92
Manchester City,7.565217391304348,7.031784775066767,-0.5334326162375804,2.760869565217391,3.080208466763281,0.31933890154589006,6.086956521739131,5.925740558823572,-0.16121596291555917,4.173913043478261,3.655131841431443,-0.5187812020468177,0.29759949681190867,-0.35670889252073984,0.07708955703295352,92
Liverpool,7.108695652173913,6.909591906336847,-0.19910374583706592,3.8043478260869565,3.5614934255787385,-0.24285440050821805,6.3478260869565215,5.8227676634074115,-0.52505842354911,4.195652173913044,4.226249022865902,0.030596848952858302,0.2800695210193275,-0.21152621276499714,0.07708955703295352,92
Tottenham Hotspur,6.956521739130435,6.735602606956205,-0.2209191321742292,5.282608695652174,4.877998877283407,-0.4046098183687672,5.456521739130435,5.676145506853797,0.21962376772336256,6.195652173913044,5.788481270412551,-0.4071709035004929,0.2545662231963742,0.10302889840468311,0.07708955703295352,92
West Ham United,4.869565217391305,4.934067584081254,0.06450236668994958,5.260869565217392,5.024817492952741,-0.2360520722646502,3.9565217391304346,4.1579777166443925,0.20145597751395794,6.434782608695652,5.96270369816004,-0.472078910535612,-0.05667734096073762,0.1326829622453439,0.07708955703295352,92
Nottingham Forest,4.6521739130434785,4.835245796499145,0.18307188345566683,5.543478260869565,5.1010570266917705,-0.4424212341777949,3.891304347826087,4.074699815869168,0.1833954680430807,6.6521739130434785,6.053173401867542,-0.5990005111759364,-0.07690909206775777,0.14774160716069124,0.07708955703295352,92
Newcastle United,6.282608695652174,6.161705771905907,-0.1209029237462671,5.086956521739131,4.665900641266515,-0.42105588047261566,4.739130434782608,5.192518111985792,0.4533876772031835,5.5,5.536794728952121,0.036794728952121325,0.16551259363734291,0.05857470794349419,0.07708955703295352,92
Burnley,4.851851851851852,4.6842244199820975,-0.1676274318697546,5.333333333333333,5.374170204292318,0.040836870958984584,4.0,3.9474329092867,-0.05256709071329979,7.37037037037037,6.3772633725737355,-0.9931069977966347,-0.10864069997409595,0.19989801026922183,0.07708955703295352,54
Luton Town,6.578947368421052,5.723681421282263,-0.8552659471387889,5.105263157894737,5.065851219641316,-0.03941193825342104,4.105263157894737,4.823391532707315,0.7181283748125775,6.7894736842105265,6.011396402764417,-0.7780772814461097,0.09177114688704163,0.14081601150966633,0.07708955703295352,38
Leicester City,4.105263157894737,3.9028932456725847,-0.2023699122221525,5.684210526315789,5.132884151909824,-0.5513263744059653,3.1578947368421053,3.2889989586493003,0.13110422180719494,6.421052631578948,6.090941085471106,-0.3301115461078421,-0.2911229206391513,0.15396154281834873,0.07708955703295352,38
Ipswich Town,4.105263157894737,4.139870135826221,0.034606977931483485,5.842105263157895,5.582141494473297,-0.2599637686845977,3.526315789473684,3.488701255350204,-0.03761453412348015,7.2631578947368425,6.624052670456181,-0.6391052242806614,-0.232176637411676,0.23786631191011237,0.07708955703295352,38
Southampton,3.1578947368421053,4.358837008145281,1.2009422713031759,7.157894736842105,5.425842086507037,-1.732052650335068,4.842105263157895,3.673226367799693,-1.1688788953582017,5.526315789473684,6.4385798529443585,0.9122640634706745,-0.18063577607090484,0.20946693947008432,0.07708955703295352,38
Sheffield United,4.105263157894737,4.013867667300803,-0.09139549059393381,6.105263157894737,5.889099717447541,-0.21616344044719593,3.3157894736842106,3.3825179801025818,0.06672850641837114,8.052631578947368,6.988304891333087,-1.0643266876142814,-0.2630857745558362,0.29139696542124116,0.07708955703295352,38
Leeds United,4.75,4.352067281031318,-0.3979327189686819,3.125,2.7596427520930766,-0.36535724790692337,3.125,3.6675214653013084,0.5425214653013084,3.5,3.274732279646738,-0.22526772035326204,-0.1821900873690512,-0.4666049375259683,0.07708955703295352,16
Sunderland,3.875,3.9350922830202184,0.06009228302021841,3.75,4.063945750655125,0.3139457506551251,3.25,3.3161333416927774,0.0661333416927774,5.875,4.822484476409022,-1.0525155235909782,-0.28290672315703635,-0.07955180979885103,0.07708955703295352,16
