team,mu_home_for,mu_away_for,mu_home_against,mu_away_against,attack_A,defense_D,beta0,home_adv,alpha,matches_w,low_sample_flag
Manchester City,6.950600226320827,5.919783166560374,3.0950371213837236,3.63397866291454,0.2834402534295601,-0.3650596674756721,1.4948595675253522,0.16052819839207558,0.07842234653324034,59.8,0
Arsenal,6.8793015187819195,5.8590584989139725,2.666310811038619,3.1305978623225115,0.2731293574411113,-0.5141637692788348,1.4948595675253522,0.16052819839207558,0.07842234653324034,59.8,0
Liverpool,6.852112830137129,5.835902061179172,3.571076314968991,4.192910980801086,0.2691692811539269,-0.22199252838558384,1.4948595675253522,0.16052819839207558,0.07842234653324034,59.8,0
Tottenham,6.584713173585171,5.608159429743409,4.886386581748057,5.737257383486753,0.2293630107870438,0.09159352247262657,1.4948595675253522,0.16052819839207558,0.07842234653324034,59.8,0
Bournemouth,6.46346614361672,5.504894085221847,4.267105077126649,5.010139844707225,0.2107779627224878,-0.04392393809500358,1.4948595675253522,0.16052819839207558,0.07842234653324034,59.8,0
Newcastle,6.26811567810679,5.338515303584229,4.643977970106685,5.452637946671195,0.18008801375173947,0.040711752566630656,1.4948595675253522,0.16052819839207558,0.07842234653324034,59.8,0
Aston Villa,6.152830413419049,5.2403275576300645,3.9619874893345903,4.651891862459898,0.16152443985197154,-0.1181137769181403,1.4948595675253522,0.16052819839207558,0.07842234653324034,59.8,0
Chelsea,6.1251836581806955,5.216780987414408,3.714369949384739,4.361156462058997,0.15702097507291465,-0.18265050013583434,1.4948595675253522,0.16052819839207558,0.07842234653324034,59.8,0
Luton Town,5.716574766492379,4.868771324944758,5.126365730737065,6.019024313177263,0.08798204306495687,0.1395374060448096,1.4948595675253522,0.16052819839207558,0.07842234653324034,15.200000000000003,1
Fulham,5.594915263078047,4.765154679343852,4.190183123121622,4.919823403061773,0.06647043061614173,-0.06211512974403641,1.4948595675253522,0.16052819839207558,0.07842234653324034,59.8,0
Manchester United,5.592760962257461,4.7633198746768945,4.737979986440673,5.563008616951212,0.06608531027411142,0.060751314150119445,1.4948595675253522,0.16052819839207558,0.07842234653324034,59.8,0
Brighton & Hove Albion,5.432773183164275,4.627059274053551,4.01976927899104,4.719735246070973,0.037061952789372084,-0.10363505982729097,1.4948595675253522,0.16052819839207558,0.07842234653324034,59.8,0
Brentford,5.231760540222996,4.455858050964437,5.062617661844195,5.944175736868385,-0.0006399211159334934,0.12702410648298468,1.4948595675253522,0.16052819839207558,0.07842234653324034,59.8,0
Leeds,4.9725746809857805,4.235111059832261,2.9641528959432866,3.480303451952935,-0.051450015483659385,-0.40826827709559227,1.4948595675253522,0.16052819839207558,0.07842234653324034,18.0,1
Nottingham Forest,4.874023607548133,4.151175720928234,5.054956478397533,5.935180504796533,-0.07146796715861511,0.12550967529528828,1.4948595675253522,0.16052819839207558,0.07842234653324034,59.8,0
West Ham United,4.869334017346606,4.147181625996988,5.028532936250416,5.904155807968887,-0.07243059025923408,0.1202687112711597,1.4948595675253522,0.16052819839207558,0.07842234653324034,59.8,0
Everton,4.766539302527128,4.059632004009617,4.986398311479344,5.854684243854162,-0.09376723742620834,0.1118543003619025,1.4948595675253522,0.16052819839207558,0.07842234653324034,59.8,0
Crystal Palace,4.6736441058912765,3.9805137403499162,4.648826853408151,5.458331170295153,-0.11344867606924681,0.04175533065389561,1.4948595675253522,0.16052819839207558,0.07842234653324034,59.8,0
Burnley,4.664023844062087,3.972320222929841,5.357575172524945,6.290494458823173,-0.11550920451907834,0.18365191201104394,1.4948595675253522,0.16052819839207558,0.07842234653324034,33.2,1
Southampton,4.359403560859442,3.7128770142890795,5.49214469563997,6.44849669159121,-0.1830525158821984,0.2084592666538399,1.4948595675253522,0.16052819839207558,0.07842234653324034,26.599999999999994,1
Ipswich Town,4.140204818229812,3.5261868027248693,5.651412665451485,6.6354981333451635,-0.23464250630158354,0.23704597566433402,1.4948595675253522,0.16052819839207558,0.07842234653324034,26.599999999999994,1
Sunderland,4.038254671540081,3.439356494183057,4.281746242099125,5.027330488639277,-0.2595751792834656,-0.04049864065076487,1.4948595675253522,0.16052819839207558,0.07842234653324034,18.0,1
Sheffield United,4.028428724049346,3.430987795558887,5.9538489693379315,6.990597937357441,-0.2620113607644049,0.2891783284948966,1.4948595675253522,0.16052819839207558,0.07842234653324034,15.200000000000003,1
Wolverhampton Wanderers,3.9928029566894176,3.4006455501346067,5.07493391308382,5.958636627790393,-0.27089428623917555,0.129453935265262,1.4948595675253522,0.16052819839207558,0.07842234653324034,59.8,0
Leicester,3.9046345566373115,3.325553069851461,5.19909887729891,6.104422546647953,-0.2932235704525341,0.15362575021795996,1.4948595675253522,0.16052819839207558,0.07842234653324034,26.599999999999994,1
