team,emp_home_for,mu_home_for,diff_home_for,emp_home_against,mu_home_against,diff_home_against,emp_away_for,mu_away_for,diff_away_for,emp_away_against,mu_away_against,diff_away_against,attack_A,defense_D,beta0,home_adv,alpha,matches
AFC Bournemouth,6.340425531914893,6.314012263102027,-0.026413268812865986,4.702127659574468,4.280182516516556,-0.4219451430579122,5.521739130434782,5.334121292120165,-0.1876178383146172,5.391304347826087,5.066462387633239,-0.32484196019284806,0.18938343686899944,-0.030745075331990262,1.4847407280623883,0.16864716741063934,0.0772879341618186,93
Arsenal,7.1521739130434785,6.880495693739556,-0.2716782193039222,2.717391304347826,2.6598078802118867,-0.05758342413593942,6.1063829787234045,5.812690417912833,-0.2936925608105714,3.3404255319148937,3.148421015090583,-0.19200451682431074,0.275302802385512,-0.5064868333614196,1.4847407280623883,0.16864716741063934,0.0772879341618186,93
Aston Villa,6.446808510638298,6.112127074283165,-0.33468143635513314,3.8297872340425534,3.9286127271427427,0.09882549310018929,5.1521739130434785,5.163567286304324,0.01139337326084533,5.043478260869565,4.650308378401825,-0.3931698824677401,0.15688694712453355,-0.11645436013682335,1.4847407280623883,0.16864716741063934,0.0772879341618186,93
Brentford,4.760869565217392,5.291971743559935,0.5311021783425431,5.1521739130434785,4.9019541391813926,-0.25021977386208594,4.808510638297872,4.470694382331324,-0.3378162559665485,6.404255319148936,5.802454959859545,-0.601800359289391,0.012803011302073477,0.1048932014676176,1.4847407280623883,0.16864716741063934,0.0772879341618186,93
Brighton & Hove Albion,5.76595744680851,5.460076061321023,-0.30588138548748756,4.23404255319149,3.9859379566795172,-0.24810459651197236,4.5,4.612710074303739,0.11271007430373903,4.891304347826087,4.718164391127863,-0.17313995669822368,0.04407482483163145,-0.10196807170162711,1.4847407280623883,0.16864716741063934,0.0772879341618186,93
Chelsea,6.369565217391305,6.126743364057222,-0.24282185333408268,3.9565217391304346,3.6512124329657927,-0.3053093061646419,5.0212765957446805,5.1759152291411175,0.1546386333964369,4.638297872340425,4.321948979861566,-0.31634889247885933,0.15927545132456802,-0.18968144221007718,1.4847407280623883,0.16864716741063934,0.0772879341618186,93
Crystal Palace,4.782608695652174,4.727748477509164,-0.05486021814301001,4.934782608695652,4.677643367058854,-0.25713924163679813,4.042553191489362,3.9940346592359512,-0.04851853225341074,5.829787234042553,5.536937756863088,-0.2928494771794652,-0.09993881528069051,0.05805370099399683,1.4847407280623883,0.16864716741063934,0.0772879341618186,93
Everton,4.723404255319149,4.770689141182374,0.04728488586322488,5.340425531914893,4.943582161582649,-0.3968433703322445,4.086956521739131,4.0303112293236545,-0.056645292415476334,6.565217391304348,5.851730150567806,-0.7134872407365416,-0.09089712696572091,0.11334947427847973,1.4847407280623883,0.16864716741063934,0.0772879341618186,93
Fulham,5.48936170212766,5.633272170780083,0.14391046865242352,4.531914893617022,4.158094253659637,-0.3738206399573851,5.108695652173913,4.759027347169483,-0.34966830500443,4.978260869565218,4.921946215869733,-0.05631465369548483,0.0753025804709766,-0.05968387085567249,1.4847407280623883,0.16864716741063934,0.0772879341618186,93
Wolverhampton Wanderers,4.212765957446808,3.977055134897355,-0.23571082254945308,5.23404255319149,5.063948223381782,-0.1700943298097073,3.347826086956522,3.3598437239286394,0.01201763697211744,6.565217391304348,5.994207748777605,-0.571009642526743,-0.27284626590445715,0.1374057322765419,1.4847407280623883,0.16864716741063934,0.0772879341618186,93
